r v real_class
0.383 0.221 BS
1.158 0.353 IN
1.635 0.46 IN
2.489 0.368 IN
1.523 0.136 BS
0.832 1.815 IN
0.139 1.274 CL
0.269 1.189 RIN
2.543 1.457 ITL
1.967 0.433 IN
1.874 0.746 ITL
1.163 1.289 IN
0.643 0.178 BS
0.448 0.88 BS
0.864 1.242 RIN
1.486 2.451 ITL
0.632 0.998 RIN
1.35 0.184 BS
0.942 0.498 ITL
0.37 0.427 CL
1.795 0.292 ITL
2.865 0.189 IN
2.835 0.951 ITL
2.325 0.039 IN
2.937 0.569 IN
2.715 2.444 ITL
0.843 0.641 IN
2.648 0.798 IN
2.46 0.317 IN
0.972 0.788 RIN
0.265 1.853 CL
0.377 1.19 CL
0.966 0.424 IN
1.375 0.076 IN
0.239 0.414 RIN
1.954 0.288 BS
2.69 2.087 ITL
1.052 0.268 BS
1.596 0.297 BS
0.973 1.139 BS
1.396 0.099 BS
1.792 0.44 IN
0.928 0.262 RIN
0.43 1.044 CL
2.76 2.211 ITL
2.186 0.331 ITL
1.215 1.068 IN
0.872 0.219 RIN
2.054 1.397 ITL
2.743 2.311 ITL
2.424 1.886 ITL
1.251 0.194 BS
0.385 0.153 RIN
2.917 2.562 ITL
1.085 1.17 IN
2.245 1.35 ITL
1.423 0.031 BS
2.873 0.147 IN
2.961 0.063 ITL
0.653 1.033 RIN
2.716 0.175 IN
2.531 0.944 ITL
1.143 0.117 BS
0.765 0.443 CL
2.797 2.11 ITL
1.544 0.44 IN
0.933 0.906 ITL
1.783 1.932 ITL
1.173 0.335 ITL
0.409 0.429 RIN
2.538 1.844 ITL
2.956 1.581 ITL
0.067 0.955 CL
0.676 1.364 IN
0.379 1.596 ITL
2.64 1.395 ITL
1.372 0.655 BS
2.862 2.464 ITL
2.548 0.288 IN
2.584 0.814 ITL
0.565 0.046 CL
0.464 0.63 BS
0.075 0.725 CL
0.068 0.232 BS
2.028 0.119 BS
2.58 0.646 IN
0.433 1.215 RIN
2.327 0.203 IN
0.354 1.872 RIN
1.585 0.628 BS
2.469 2.081 ITL
1.444 2.524 ITL
2.085 0.281 BS
1.288 1.415 ITL
2.613 0.106 IN
1.72 2.402 ITL
1.204 0.765 BS
1.594 0.024 IN
1.231 0.907 IN
1.89 0.415 ITL
2.973 2.308 ITL
1.484 1.523 ITL
0.711 0.949 RIN
1.209 0.304 IN
0.338 0.882 RIN
1.185 0.126 BS
2.376 2.633 ITL
0.842 0.923 CL
1.377 0.535 IN
1.835 1.181 IN
1.055 2.908 ITL
2.481 0.319 IN
2.375 0.133 IN
0.631 0.104 CL
2.941 1.676 ITL
1.678 0.354 BS
2.688 0.369 IN
1.101 0.005 IN
0.701 0.834 BS
0.698 0.014 RIN
0.513 2.291 ITL
2.392 2.975 ITL
1.104 0.315 IN
2.142 0.067 IN
2.485 1.954 ITL
0.179 0.934 RIN
0.451 1.444 RIN
1.908 2.752 ITL
2.972 0.892 ITL
1.311 1.976 ITL
0.376 0.196 BS
1.607 0.089 IN
0.666 0.269 CL
0.268 0.392 IN
0.17 1.317 RIN
0.337 0.639 RIN
1.283 0.835 ITL
0.944 1.096 IN
2.061 0.183 IN
1.964 0.134 IN
1.598 0.224 ITL
2.118 0.341 IN
1.399 0.363 ITL
1.958 0.869 IN
2.512 0.417 ITL
0.315 0.73 CL
2.702 0.436 ITL
0.637 1.569 BS
0.265 1.906 RIN
1.536 2.081 ITL
2.801 1.238 ITL
1.13 0.141 IN
0.281 0.088 CL
1.756 2.025 ITL
0.848 0.192 RIN
1.705 0.706 BS
1.282 0.076 BS
0.429 2.208 RIN
1.212 2.458 ITL
0.51 0.776 RIN
2.685 1.018 ITL
0.187 0.065 CL
2.748 0.435 ITL
1.965 0.504 IN
0.6 1.484 RIN
