r v real_class
0.526 0.241 RIN
0.994 0.858 IN
0.889 1.731 RIN
1.473 0.017 IN
1.641 1.137 ITL
1.794 0.201 IN
1.367 0.733 IN
0.112 0.928 CL
1.258 2.304 ITL
2.417 0.065 IN
2.34 0.397 IN
2.294 0.749 IN
1.26 0.594 BS
1.041 2.747 ITL
1.625 0.053 IN
1.224 1.608 BS
1.614 0.063 BS
2.692 0.307 IN
2.091 1.672 ITL
0.706 0.116 CL
0.388 1.678 CL
0.555 0.222 BS
1.1 0.192 IN
1.118 0.861 IN
0.583 0.834 CL
1.121 0.244 IN
0.849 2.674 ITL
2.855 0.113 IN
2.867 1.363 ITL
2.451 1.255 ITL
2.535 0.672 IN
1.224 1.301 ITL
2.221 0.177 IN
2.557 0.362 IN
1.319 0.984 BS
0.891 0.575 RIN
1.222 1.624 ITL
1.654 2.466 ITL
1.464 0.319 BS
2.83 0.273 IN
1.096 0.862 IN
1.781 0.494 BS
0.427 1.707 RIN
0.709 0.433 CL
0.774 0.888 BS
1.464 0.506 IN
0.462 0.296 CL
2.564 0.488 IN
0.637 0.051 CL
2.649 0.162 IN
0.718 0.104 BS
1.284 1.644 IN
2.934 0.458 ITL
2.499 1.408 ITL
0.791 0.239 CL
2.975 0.001 IN
0.464 1.55 RIN
1.842 0.174 IN
0.819 0.636 CL
2.68 1.045 ITL
0.736 0.463 ITL
2.093 1.03 IN
1.92 2.829 ITL
0.956 0.159 BS
0.934 0.679 RIN
1.668 0.17 ITL
1.511 0.201 ITL
0.553 1.999 ITL
2.843 0.726 ITL
0.251 2.015 ITL
2.456 0.342 ITL
0.773 0.302 BS
0.761 0.856 CL
2.598 0.083 IN
2.161 0.098 IN
0.925 1.065 BS
2.539 2.604 ITL
2.34 0.436 ITL
1.817 0.784 ITL
2.343 0.132 BS
2.627 1.267 ITL
0.275 1.046 IN
2.729 1.523 ITL
2.621 1.06 ITL
0.592 1.92 BS
1.581 0.259 BS
0.264 0.155 RIN
0.538 1.158 CL
1.171 0.393 BS
2.923 0.49 ITL
2.593 0.157 IN
0.168 0.283 CL
0.418 0.633 BS
2.611 0.408 ITL
1.994 0.033 IN
2.138 0.711 ITL
0.991 0.089 IN
2.032 0.07 IN
2.78 0.952 ITL
1.29 2.608 ITL
2.161 0.295 IN
2.777 2.098 ITL
0.823 0.326 ITL
1.292 0.521 BS
1.184 0.111 BS
1.027 0.311 IN
1.354 0.754 IN
0.512 0.766 CL
0.152 1.7 RIN
0.595 0.661 CL
2.917 0.61 ITL
1.432 2.547 ITL
1.511 0.838 BS
2.505 0.08 IN
2.556 2.243 ITL
2.162 0.607 IN
1.642 0.169 BS
1.242 0.62 IN
2.87 0.195 IN
2.036 0.076 BS
1.506 0.081 ITL
2.517 0.471 IN
1.143 0.821 BS
0.447 1.13 ITL
2.224 0.256 IN
0.674 0.213 CL
0.504 1.175 RIN
1.321 0.121 IN
2.984 2.086 ITL
1.911 0.387 IN
0.226 1.643 RIN
0.084 0.545 RIN
0.524 0.304 CL
1.407 0.656 IN
1.799 0.594 BS
2.323 0.161 ITL
2.718 0.603 ITL
0.45 1.887 ITL
2.776 0.233 ITL
0.659 0.89 IN
0.982 0.118 IN
2.173 1.858 ITL
2.97 1.997 ITL
2.555 2.402 ITL
1.762 0.149 IN
2.398 0.044 IN
1.193 0.437 BS
0.493 1.297 CL
2.9 0.216 IN
0.86 0.373 RIN
2.391 0.109 IN
0.896 1.243 IN
0.701 0.156 ITL
0.535 1.107 RIN
0.222 0.045 ITL
1.21 0.701 IN
1.095 0.273 IN
2.43 0.338 BS
0.789 0.877 BS
2.625 0.264 IN
0.192 0.034 BS
1.216 0.736 IN
0.726 1.082 ITL
1.915 0.177 ITL
0.63 0.976 RIN
2.325 1.493 ITL
1.281 0.947 ITL
0.059 2.256 ITL
2.421 0.5 IN
2.432 0.387 ITL
2.704 1.471 ITL
0.954 0.989 CL
1.158 0.643 BS
2.093 0.823 ITL
2.035 1.317 ITL
2.986 0.287 IN
2.429 2.685 ITL
0.962 0.967 RIN
0.643 0.536 RIN
2.36 2.854 ITL
2.816 0.22 ITL
2.218 0.332 IN
1.553 0.68 IN
0.973 0.366 CL
1.175 0.98 IN
1.094 0.677 BS
2.385 0.851 ITL
1.243 1.753 ITL
2.332 0.07 IN
1.842 2.542 ITL
0.146 0.294 RIN
2.409 1.429 ITL
2.574 2.261 ITL
0.664 2.69 ITL
1.51 0.287 IN
1.33 0.48 IN
2.475 0.096 ITL
1.764 0.017 IN
0.331 2.308 ITL
0.685 1.504 RIN
2.445 1.604 ITL
1.026 0.016 BS
2.994 2.743 ITL
1.109 0.293 BS
2.834 0.206 IN
2.019 0.991 ITL
0.478 0.879 CL
1.031 0.726 IN
1.693 0.389 IN
2.106 0.13 IN
0.474 1.097 CL
0.948 0.884 IN
1.727 0.607 IN
0.829 1.025 BS
1.299 0.254 BS
0.711 2.811 ITL
0.458 2.734 ITL
1.883 0.194 BS
2.91 0.003 IN
1.78 2.289 ITL
1.36 0.399 IN
1.071 1.154 BS
0.995 1.087 ITL
1.226 0.776 IN
2.76 0.901 IN
1.909 0.141 ITL
0.8 0.312 CL
0.74 1.123 RIN
1.18 1.033 IN
2.973 0.649 IN
2.146 1.615 ITL
1.257 0.597 BS
0.749 0.285 CL
0.306 2.18 CL
2.64 0.233 IN
0.429 1.274 CL
0.75 0.551 BS
2.591 0.282 IN
0.648 0.134 CL
2.985 0.853 ITL
1.966 0.417 IN
2.85 0.172 IN
1.053 2.958 ITL
2.368 0.251 IN
1.686 0.331 ITL
1.119 1.125 IN
2.383 0.725 IN
1.438 0.241 IN
0.566 1.558 RIN
1.465 0.055 IN
0.591 1.265 IN
2.813 0.648 IN
1.209 0.711 BS
1.011 1.19 ITL
2.339 0.691 IN
1.416 0.391 BS
2.507 0.26 IN
0.632 0.78 ITL
1.418 1.219 ITL
2.53 1.144 ITL
1.491 0.422 IN
1.485 0.484 BS
1.38 1.666 ITL
0.311 0.46 RIN
1.931 1.72 ITL
2.447 2.131 ITL
1.189 0.246 ITL
2.136 0.102 ITL
0.945 0.317 BS
0.601 0.303 RIN
2.277 1.953 ITL
1.939 0.976 ITL
2.431 0.146 IN
0.356 1.32 BS
0.289 0.853 CL
2.149 0.329 ITL
0.375 1.189 RIN
1.355 0.503 IN
0.87 0.783 RIN
0.409 0.267 CL
0.392 0.581 CL
2.445 0.562 IN
1.484 0.342 BS
1.669 0.414 ITL
0.262 1.216 CL
1.73 0.422 IN
2.024 2.753 ITL
1.003 0.486 BS
0.234 1.72 RIN
1.433 0.138 BS
1.679 0.427 BS
2.674 0.934 ITL
1.247 0.084 BS
1.703 2.689 ITL
1.032 0.751 ITL
2.87 0.074 IN
0.84 0.742 CL
2.1 0.904 ITL
1.463 1.272 ITL
0.173 1.694 RIN
1.174 0.09 IN
1.67 0.088 BS
0.721 0.239 CL
1.432 1.512 ITL
0.082 2.477 CL
1.416 0.37 IN
0.856 0.391 ITL
1.785 0.837 ITL
2.744 0.009 IN
1.801 0.125 BS
2.022 2.455 ITL
1.514 0.482 BS
2.83 0.196 IN
1.721 0.305 ITL
1.015 0.521 BS
0.907 1.28 ITL
0.939 1.019 IN
1.362 0.39 ITL
0.352 1.297 CL
0.603 0.937 RIN
0.919 0.418 RIN
0.206 1.336 CL
1.116 0.18 IN
2.275 2.759 ITL
0.435 0.121 CL
1.86 0.1 BS
1.124 1.044 IN
2.974 0.022 IN
1.516 0.774 ITL
1.915 0.076 IN
2.013 2.584 ITL
1.67 0.33 IN
2.737 2.325 ITL
2.205 1.817 ITL
1.939 0.778 IN
0.456 0.75 RIN
1.231 0.314 IN
1.304 1.519 ITL
0.728 0.364 ITL
0.884 0.998 BS
2.417 0.242 ITL
0.415 0.81 CL
2.301 0.279 IN
0.869 0.721 BS
0.539 1.028 BS
2.379 1.29 ITL
0.747 1.56 BS
0.624 0.761 CL
0.863 1.323 RIN
0.725 0.434 CL
0.51 0.218 CL
0.163 1.285 RIN
2.246 2.895 ITL
0.373 1.628 RIN
1.609 0.689 IN
0.21 0.343 RIN
1.837 0.773 IN
0.947 1.756 RIN
0.368 1.105 RIN
1.594 0.316 BS
0.658 0.186 BS
0.731 0.752 IN
2.522 0.47 IN
0.641 0.16 CL
1.527 0.742 BS
1.56 0.73 IN
0.698 0.291 CL
2.711 0.391 IN
1.222 0.42 BS
0.718 1.409 RIN
2.501 0.741 ITL
0.509 0.266 IN
1.877 0.271 IN
0.412 0.088 CL
2.66 0.837 ITL
2.144 0.854 ITL
1.02 1.004 BS
2.24 0.585 IN
0.374 2.477 ITL
2.933 0.083 IN
0.793 0.163 IN
2.843 0.255 ITL
0.552 1.313 BS
1.469 0.533 IN
1.001 1.253 IN
2.199 0.228 IN
0.16 1.149 RIN
1.146 0.944 BS
2.251 0.95 ITL
1.722 0.349 ITL
1.606 0.593 IN
2.398 1.988 ITL
1.593 0.206 IN
1.219 2.201 ITL
0.471 1.501 RIN
1.869 0.455 IN
2.211 0.169 IN
0.799 0.401 RIN
2.417 0.166 IN
1.363 0.968 BS
1.727 0.361 IN
2.19 1.895 ITL
1.831 2.671 ITL
0.42 0.796 RIN
1.511 0.348 BS
0.779 0.917 CL
2.708 0.889 ITL
1.404 0.216 IN
1.114 0.278 ITL
0.549 0.287 CL
0.296 1.646 RIN
1.585 0.102 IN
1.254 1.116 BS
0.234 0.14 RIN
0.587 0.87 CL
2.025 1.318 ITL
2.691 0.357 IN
1.309 0.258 IN
1.972 0.829 BS
1.149 0.405 BS
1.947 0.84 BS
2.848 1.073 ITL
0.801 0.396 CL
2.039 0.176 IN
1.247 2.662 ITL
1.77 0.26 BS
1.873 0.018 BS
0.906 1.108 ITL
2.982 1.211 ITL
0.214 1.315 RIN
0.741 0.389 ITL
2.714 0.094 ITL
0.274 0.434 BS
2.794 1.857 ITL
0.135 1.338 CL
2.61 0.248 ITL
1.521 0.479 IN
0.495 0.563 CL
0.728 0.818 IN
0.564 1.508 IN
0.846 0.724 ITL
0.428 1.046 RIN
0.149 2.328 ITL
1.133 0.195 BS
1.531 0.382 BS
1.948 0.235 IN
1.879 0.14 BS
0.338 0.199 CL
0.85 0.757 CL
2.559 1.243 ITL
0.834 0.812 RIN
2.403 0.399 IN
0.936 0.016 IN
2.166 0.353 IN
1.695 0.418 IN
1.97 2.876 ITL
2.78 1.804 ITL
1.49 0.223 IN
1.198 0.68 BS
1.568 0.315 ITL
1.083 1.305 IN
0.897 1.062 CL
0.11 1.517 CL
0.254 1.844 RIN
2.502 0.203 IN
1.648 0.406 ITL
0.65 1.026 RIN
0.87 0.117 IN
0.95 0.595 IN
2.725 0.488 ITL
0.148 1.195 CL
1.449 0.052 BS
2.26 0.264 IN
0.576 1.805 IN
1.331 0.308 BS
0.544 0.911 CL
1.12 0.49 BS
0.871 1.335 RIN
0.496 1.755 RIN
0.592 2.532 ITL
1.463 0.095 IN
0.561 0.5 BS
0.964 0.206 BS
1.125 0.712 BS
2.065 0.339 IN
2.31 0.384 IN
0.435 1.124 IN
0.288 1.167 CL
1.04 1.178 BS
0.62 1.225 RIN
1.056 0.389 ITL
2.408 0.267 ITL
2.238 0.339 IN
1.457 0.968 ITL
2.151 0.645 ITL
1.511 0.103 IN
1.402 1.151 ITL
0.25 0.052 CL
2.716 0.347 IN
0.104 1.547 CL
1.823 0.101 IN
0.155 1.255 RIN
0.448 1.492 RIN
1.665 0.27 BS
1.529 0.026 ITL
1.745 2.33 ITL
2.421 0.552 ITL
0.629 1.125 RIN
1.576 2.259 ITL
2.389 0.06 IN
0.333 2.1 CL
1.09 1.17 IN
1.216 0.682 BS
2.106 2.545 ITL
1.333 1.021 IN
0.656 1.678 ITL
2.446 0.297 IN
1.519 1.865 ITL
2.255 0.482 IN
0.295 0.411 RIN
1.214 0.51 BS
0.68 1.536 RIN
1.339 1.031 IN
0.219 0.502 RIN
1.547 2.78 ITL
0.927 0.528 BS
0.568 0.159 CL
0.347 0.191 CL
1.156 1.569 IN
1.152 1.614 ITL
1.84 0.947 IN
1.721 0.089 BS
1.21 0.845 BS
0.223 0.451 BS
2.593 2.974 ITL
1.522 0.736 IN
1.005 1.937 ITL
2.223 0.981 ITL
2.114 1.869 ITL
0.889 0.496 RIN
2.002 0.374 CL
0.303 1.148 CL
0.864 0.512 BS
0.441 0.752 BS
1.061 0.483 IN
1.164 1.86 ITL
0.902 0.419 BS
1.28 0.125 IN
1.691 0.182 IN
2.996 0.666 ITL
0.317 1.397 RIN
1.882 1.504 ITL
2.069 1.122 ITL
0.812 0.919 BS
1.862 1.805 ITL
0.959 1.408 IN
2.625 0.961 ITL
1.202 0.373 BS
2.88 0.141 IN
0.841 1.45 IN
2.867 2.935 ITL
0.34 0.168 BS
1.848 0.928 IN
0.524 1.559 RIN
1.474 1.034 IN
1.226 1.26 IN
1.556 0.056 ITL
1.543 0.472 ITL
1.759 0.358 ITL
2.985 0.507 ITL
2.902 2.005 ITL
2.443 0.027 BS
1.469 0.236 ITL
1.519 0.766 IN
2.963 2.105 ITL
2.552 2.167 ITL
2.972 0.314 IN
0.817 0.76 CL
0.256 2.034 RIN
2.849 1.311 ITL
0.442 0.188 CL
2.563 0.381 IN
2.216 0.416 IN
0.968 1.477 BS
1.591 0.217 IN
0.4 1.645 RIN
0.383 1.029 CL
0.654 0.417 CL
2.759 0.505 ITL
0.829 0.066 ITL
0.88 0.901 CL
2.433 0.105 IN
1.233 0.531 IN
0.903 0.161 BS
0.511 0.599 BS
1.216 0.778 ITL
2.864 1.948 ITL
1.933 0.517 IN
2.057 0.481 ITL
2.511 1.276 ITL
2.976 0.231 IN
2.477 0.214 IN
1.676 0.989 IN
1.593 0.609 IN
2.706 0.101 IN
1.36 0.262 BS
2.563 0.028 ITL
1.154 1.961 ITL
0.605 0.953 IN
0.216 0.087 CL
0.523 0.305 CL
1.296 0.004 BS
2.93 1.656 ITL
2.995 0.013 IN
1.801 0.19 BS
2.26 0.499 IN
0.413 1.733 RIN
1.095 1.635 IN
2.634 0.885 IN
1.539 0.244 BS
0.867 1.657 RIN
1.11 0.023 BS
1.686 0.775 BS
1.444 1.242 IN
1.692 0.721 IN
1.743 0.362 BS
0.719 0.371 RIN
1.441 0.72 IN
0.251 1.458 CL
0.767 1.041 CL
0.25 0.708 CL
2.411 1.293 ITL
0.716 0.218 BS
1.519 0.398 IN
2.353 0.613 ITL
2.46 0.128 ITL
2.97 0.475 IN
2.407 1.178 ITL
1.538 2.408 ITL
0.636 0.864 CL
2.798 1.398 ITL
2.694 0.376 ITL
2.07 2.943 ITL
0.203 0.208 RIN
0.434 1.583 CL
2.438 1.125 ITL
2.787 0.269 IN
1.56 0.184 IN
1.983 0.548 ITL
2.539 0.089 IN
2.793 0.749 ITL
0.573 0.623 RIN
0.672 0.603 ITL
0.541 0.158 RIN
0.387 0.549 CL
1.296 0.328 ITL
1.143 0.491 IN
1.206 1.664 ITL
1.993 0.248 BS
1.03 0.024 BS
2.347 2.802 ITL
0.963 0.647 ITL
2.21 0.173 ITL
1.204 0.207 BS
2.974 1.818 ITL
1.645 2.676 ITL
1.768 0.985 IN
0.787 1.377 IN
0.335 1.047 CL
2.922 2.506 ITL
0.731 1.682 RIN
1.919 0.786 IN
0.79 1.252 ITL
1.69 0.821 IN
2.201 0.494 IN
2.88 0.139 IN
1.372 0.719 IN
0.926 0.248 CL
0.908 0.078 BS
1.354 0.144 IN
2.31 0.55 IN
0.546 0.5 ITL
2.12 0.533 ITL
2.561 1.483 ITL
0.979 0.502 BS
1.373 0.225 BS
0.422 1.484 RIN
2.132 2.175 ITL
1.025 0.96 IN
0.789 0.338 CL
0.079 2.875 RIN
2.28 0.642 ITL
1.424 0.988 IN
1.048 1.773 ITL
1.725 0.452 IN
0.053 0.334 CL
0.595 0.487 RIN
2.671 0.432 ITL
0.331 1.001 CL
1.426 0.981 BS
2.282 0.007 ITL
1.797 0.01 BS
2.635 2.66 ITL
1.827 1.763 ITL
1.761 0.145 IN
1.378 2.693 ITL
2.245 2.238 ITL
0.863 0.576 ITL
1.876 0.025 BS
1.458 0.054 BS
2.01 1.15 IN
2.137 0.26 BS
1.788 0.995 ITL
1.367 0.878 IN
2.279 0.597 IN
2.476 2.368 ITL
2.678 0.471 IN
2.997 0.023 ITL
0.295 1.225 RIN
0.918 0.422 RIN
0.279 0.992 RIN
1.61 2.488 ITL
1.322 2.729 ITL
0.79 0.296 BS
0.895 0.506 CL
1.886 0.435 BS
2.873 1.7 ITL
1.19 0.179 CL
0.419 0.108 RIN
0.267 0.24 RIN
0.538 1.668 BS
1.617 0.252 IN
0.766 0.098 BS
0.316 1.133 CL
1.05 0.077 BS
0.61 1.585 RIN
0.908 1.012 RIN
1.051 0.215 IN
0.588 0.652 CL
1.084 0.935 IN
2.853 0.028 ITL
0.26 1.304 RIN
2.173 0.101 ITL
1.318 0.578 ITL
2.44 0.163 BS
1.8 0.074 BS
0.916 2.704 ITL
1.017 0.318 BS
2.716 0.277 IN
2.798 0.347 ITL
2.219 0.315 IN
2.096 0.496 ITL
2.506 0.326 ITL
0.893 0.619 CL
0.365 0.254 RIN
0.97 0.433 BS
2.222 0.734 IN
1.448 0.67 IN
0.207 0.868 CL
1.282 1.615 IN
0.993 1.787 ITL
1.137 0.327 IN
1.931 0.598 IN
1.298 0.234 BS
1.602 0.211 BS
0.972 0.616 ITL
2.295 0.332 IN
0.724 2.489 ITL
2.067 0.157 IN
0.483 0.592 CL
2.954 2.577 ITL
0.987 1.865 ITL
2.615 0.018 IN
1.53 0.469 BS
1.094 0.503 BS
0.985 1.089 BS
1.427 0.708 IN
0.937 1.803 ITL
2.521 0.183 ITL
2.943 1.013 ITL
1.948 0.348 IN
0.766 0.017 IN
2.131 0.556 IN
1.922 0.782 BS
1.284 0.403 IN
0.511 0.741 CL
2.525 0.484 ITL
0.324 1.035 CL
0.318 0.207 BS
0.192 1.074 CL
0.755 0.472 CL
0.443 0.608 CL
0.942 0.73 IN
2.878 1.498 ITL
2.315 0.366 ITL
0.43 0.591 BS
2.557 1.099 ITL
0.251 2.023 RIN
2.075 2.963 ITL
2.189 0.197 IN
2.509 2.915 ITL
1.024 1.15 BS
2.323 0.106 ITL
0 0 CL
1.134 2.588 ITL
2.615 0.204 ITL
0.969 0.184 RIN
1.144 0.502 ITL
0.358 0.273 IN
0.158 0.421 CL
1.544 0.576 BS
1.521 0.033 IN
2.432 0.071 ITL
0.088 0.203 CL
2.861 0.105 IN
0.327 1.341 RIN
0.725 0.045 ITL
1.286 0.112 BS
2.436 0.742 ITL
0.213 0.169 CL
2.234 2.303 ITL
2.261 0.378 ITL
0.909 0.443 CL
1.784 0.437 IN
2.22 1.673 ITL
1.264 0.01 BS
1.237 0.067 ITL
2.795 0.238 ITL
2.707 1.387 IN
1.573 0.565 IN
2.787 0.085 ITL
0.456 0.215 RIN
2.186 0.951 ITL
2.2 0.84 IN
0.632 0.475 RIN
1.565 2.034 ITL
0.723 0.855 BS
2.235 0.429 ITL
2.082 0.35 IN
0.998 0.468 BS
2.833 2.308 ITL
0.797 1.366 BS
2.588 0.106 IN
0.547 0.458 CL
2.071 0.132 IN
0.343 0.997 CL
2.847 0.169 ITL
1.039 0.219 BS
1.858 2.036 ITL
1.235 0.735 IN
1.386 0.173 IN
1.186 0.088 ITL
0.191 0.964 RIN
0.581 0.599 CL
0.353 1.238 CL
0.936 0.093 BS
2.46 0.317 ITL
2.653 1.385 ITL
0.804 0.58 IN
1.256 0.973 IN
2.357 1.951 ITL
1.993 0.4 ITL
0.709 0.715 ITL
1.38 0.738 IN
0.519 1.649 RIN
1.001 1.985 ITL
0.704 0.028 CL
1.994 0.079 BS
2.455 0.165 IN
0.537 0.077 RIN
2.647 0.747 IN
0.841 0.124 ITL
0.088 0.864 CL
2.349 0.289 IN
0.213 0.087 CL
1.671 0.034 IN
1.193 0.594 BS
1.559 0.032 BS
1.713 0.009 BS
0.906 0.107 RIN
0.595 0.341 BS
2.511 1.646 ITL
2.664 0.114 ITL
0.871 1.204 IN
2.947 0.121 ITL
1.798 0.132 BS
2.759 2.95 ITL
0.569 1.364 CL
2.816 0.675 ITL
2.902 2.621 ITL
1.043 0.135 BS
0.67 0.159 IN
1.674 0.923 IN
1.972 0.135 ITL
0.113 2.001 RIN
0.457 0.757 RIN
0.821 0.809 CL
0.94 0.215 IN
2.194 2.879 ITL
0.529 1.53 RIN
0.066 0.321 CL
0.766 2.211 ITL
0.529 0.148 RIN
1.029 1.588 IN
0.983 0.187 IN
2.894 0.339 ITL
2.944 0.01 ITL
2.874 0.326 ITL
2.607 0.601 ITL
1.662 0.291 BS
1.6 0.199 IN
0.723 0.691 RIN
1.018 0.561 ITL
0.584 0.594 CL
1.209 0.775 ITL
1.104 0.007 BS
0.764 0.149 IN
2.322 0.668 ITL
1.213 0.119 BS
1.33 0.832 BS
0.329 0.516 RIN
2.162 1.953 ITL
0.625 0.453 ITL
0.814 0.184 IN
1.073 0.002 BS
0.18 2.129 RIN
2.873 0.289 IN
0.312 2.139 CL
1.392 0.088 BS
2.056 0.467 IN
0.681 2.505 ITL
1.784 0.679 IN
0.993 0.866 IN
1.862 0.019 IN
0.907 0.935 IN
2.608 0.9 ITL
1.822 0.282 IN
0.362 0.832 RIN
1.441 0.559 IN
1.464 0.283 ITL
0.634 0.152 CL
1.48 0.027 BS
2.904 0.737 ITL
0.741 0.021 BS
1.802 0.204 IN
2.784 0.064 IN
2.533 0.168 IN
2.089 0.149 ITL
1.494 0.573 ITL
1.059 0.453 ITL
2.529 1.01 ITL
2.591 0.154 IN
1.774 2.81 ITL
0.954 0.207 BS
0.26 0.737 CL
0.27 1.862 CL
0.723 1.3 IN
2.05 0.209 IN
2.369 0.593 IN
0.566 0.545 RIN
1.182 0.856 BS
1.67 0.524 IN
0.49 1.077 BS
0.843 0.038 IN
1.547 1.014 IN
0.42 1.268 RIN
0.877 0.513 IN
0.514 1.188 RIN
0.948 1.505 IN
0.252 1.129 CL
2.911 2.279 ITL
1.57 0.261 IN
1.336 0.575 BS
2.926 1.912 ITL
2.354 1.046 ITL
1.517 0.748 ITL
2.31 2.962 ITL
2.849 0.229 IN
0.819 2.427 ITL
0.413 1.321 RIN
0.95 0.001 IN
1.807 0.578 IN
2.484 0.124 IN
0.297 0.182 IN
1.254 0.503 BS
0.992 0.049 BS
1.455 0.565 ITL
0.303 1.542 IN
1.584 0.175 IN
1.093 0.002 IN
1.094 0.141 BS
2.735 0.299 IN
0.565 0.693 RIN
2.399 1.884 ITL
2.338 0.066 IN
1.949 0.013 ITL
0.753 0.129 CL
0.317 1.904 CL
1.238 0.525 IN
1.129 0.876 BS
1.391 0.336 BS
1.492 0.334 IN
1.042 0.114 IN
2.825 0.644 IN
2.006 0.301 IN
2.517 1.437 ITL
1.674 1.339 ITL
1.809 0.645 IN
0.969 0.527 BS
2.589 1.486 ITL
0.365 1.995 RIN
0.351 0.239 CL
0.423 0.864 BS
0.353 1.399 RIN
2.609 1.88 ITL
2.916 0.498 IN
2.257 0.244 IN
0.949 0.237 IN
2.859 0.862 IN
1.135 2.508 ITL
0.262 1.605 CL
1.414 0.211 BS
1.114 0.901 IN
0.647 0.588 BS
0.804 1.103 RIN
2.349 0.923 ITL
0.341 0.321 CL
2.259 0.157 IN
1.107 1.511 ITL
0.179 0.22 CL
1.308 0.221 BS
1.491 0.463 IN
1.895 0.083 BS
0.261 1.612 CL
0.76 0.674 CL
2.511 0.414 BS
1.911 1.901 ITL
2.67 2.888 ITL
2.83 0.594 ITL
1.211 0.573 BS
2.532 0.512 IN
0.347 0.664 RIN
0.53 1.384 RIN
0.6 0.369 ITL
2.843 0.064 IN
1.72 1.119 ITL
0.597 1.479 RIN
0.971 1.635 IN
0.388 0.04 CL
1.254 0.613 BS
1.396 1.111 IN
2.402 0.109 IN
1.764 0.158 ITL
1.625 0.171 ITL
0.007 0.373 CL
0.96 1.168 RIN
1.8 0.238 BS
1.287 2.589 ITL
0.165 0.683 CL
2.864 2.994 ITL
2.293 0.384 IN
1.686 2.524 ITL
1.294 2.829 ITL
1.544 1.212 BS
1.548 0.255 ITL
2.959 0.962 ITL
2.15 0.378 IN
0.429 0.947 BS
1.184 0.358 BS
2.738 1.165 IN
0.221 0.142 CL
1.011 0.173 IN
1.132 2.545 ITL
0.548 2.375 ITL
1.96 0.395 BS
0.16 2.498 ITL
2.812 0.26 IN
0.302 0.712 RIN
1.008 1.036 ITL
0.565 1.265 RIN
0.486 0.24 CL
1.122 0.168 IN
0.265 0.115 RIN
2.169 0.318 IN
1.462 0.09 BS
2.374 1.395 ITL
2.34 0.07 IN
2.681 0.224 IN
2.957 1.864 ITL
1.011 1.228 IN
0.481 0.611 IN
0.618 0.227 CL
0.933 0.247 BS
2.486 0.159 ITL
1.156 0.426 BS
1.724 0.206 ITL
1.755 0.14 BS
1.359 0.729 BS
0.283 2.55 ITL
1.705 0.574 ITL
0.766 0 CL
2.925 0.221 IN
1.003 0.232 IN
0.335 0.023 CL
1.775 0.001 CL
2.865 2.82 ITL
1.136 0.664 BS
2.836 0.152 IN
2.663 0.143 IN
0.295 1.015 CL
2.864 2.722 ITL
1.52 0.889 IN
1.919 0.337 BS
1.544 1.109 IN
1.024 0.015 IN
2.281 0.419 ITL
0.721 1.936 RIN
0.412 0.414 RIN
0.798 1.469 BS
1.559 0.18 IN
0.751 0.566 RIN
0.578 0.008 CL
2.174 2.633 ITL
1.554 2.104 ITL
0.836 1.852 ITL
2.226 0.139 IN
2.873 0.067 ITL
0.696 0.23 CL
2.379 0.641 IN
0.691 0.647 CL
0.755 0.669 CL
0.545 2.026 RIN
1.164 0.993 BS
1.21 2.054 ITL
1.604 0.698 BS
1.734 1.987 ITL
0.15 1.19 CL
0.307 0.586 RIN
1.7 0.664 IN
2.705 2.279 ITL
0.277 1.08 CL
1.11 0.45 BS
1.127 0.815 BS
2.946 0.205 IN
0.905 0.686 BS
0.128 0.59 CL
2.138 0.042 BS
1.426 0.343 BS
0.392 1.949 ITL
1.637 0.598 BS
2.29 0.106 IN
1.669 1.327 ITL
1.16 0.123 BS
0.574 0.549 ITL
1.898 0.497 IN
2.357 0.745 ITL
1.094 1.527 IN
0.75 0.283 BS
1.201 0.766 BS
2.913 0.241 IN
0.542 0.709 CL
0.627 0.807 BS
1.718 0.226 BS
0.281 1.772 RIN
1.447 1.113 IN
1.392 1.273 IN
0.445 0.069 CL
2.373 0.118 IN
2.605 0.385 IN
2.014 0.155 ITL
1.873 1.179 ITL
2.714 0.217 IN
0.982 0.347 IN
1.168 0.225 BS
1.596 0.008 BS
0.156 0.728 CL
2.409 0.027 ITL
1.716 0.863 ITL
0.482 0.56 RIN
1.233 0.353 ITL
2.958 0.02 IN
0.881 2.877 ITL
2.825 1.681 ITL
1.628 0.061 IN
0.737 0.169 CL
0.54 1.164 RIN
0.281 0.622 CL
1.68 1.004 ITL
0.684 0.89 BS
0.214 0.401 RIN
1.01 0.245 BS
2.405 1.17 ITL
1.725 0.694 IN
2.013 1.586 ITL
0.864 1.127 ITL
0.311 0.05 RIN
2.209 1.831 ITL
2.51 0.087 IN
1.937 1.253 ITL
1.09 2.35 ITL
0.2 1.051 CL
1.174 0.255 IN
2.855 0.948 IN
1.896 0.404 IN
1.431 0.11 BS
1.846 0.333 ITL
1.549 0.036 BS
0.878 0.429 CL
2.539 1.07 IN
1.56 0.321 IN
2.751 0.238 ITL
2.982 0.007 ITL
0.606 0.593 CL
0.938 1.43 ITL
2.98 2.566 ITL
2.687 0.232 ITL
2.891 0.558 IN
0.318 1.24 ITL
1.571 0.387 IN
1.841 1.272 ITL
0.044 1.844 CL
2.01 0.299 IN
2.125 2.082 ITL
2.341 0.511 ITL
2.435 1.444 ITL
0.889 1.007 BS
