r v real_class
2.973 0.306 IN
2.934 0.287 IN
2.787 0.207 ITL
2.749 0.17 ITL
1.069 0.705 IN
1.112 0.757 IN
2.149 2.224 ITL
2.228 2.274 ITL
2.25 2.122 ITL
2.333 2.762 ITL
2.298 2.669 ITL
1.114 0.548 IN
1.045 0.579 IN
2.36 0.548 IN
2.427 0.219 IN
1.918 0.6 IN
2.03 0.52 IN
2.192 0.662 IN
2.435 2.886 ITL
0.687 0.756 IN
0.695 0.521 IN
0.873 0.536 IN
0.91 0.982 IN
0.9 0.887 IN
1.37 0.919 IN
1.029 0.918 IN
1.168 0.665 IN
2.913 0.033 IN
2.931 0.302 IN
2.62 0.378 IN
2.629 0.353 IN
2.611 0.401 IN
2.795 0.246 IN
2.298 0.066 IN
2.328 0.222 IN
2.266 0.001 IN
1.805 0.358 IN
1.83 0.294 IN
2.313 0.214 IN
2.327 0.312 IN
2.373 0.309 IN
2.442 0.287 IN
2.751 0.24 IN
2.8 0.178 IN
2.915 0.11 ITL
2.241 0.014 IN
1.321 0.836 IN
1.812 0.188 IN
0.784 1.418 IN
1.231 0.733 IN
1.453 0.55 IN
1.336 0.633 IN
1.997 0.803 IN
2.166 0.634 IN
1.574 0.613 IN
1.919 0.517 IN
1.892 0.454 IN
2.774 0.322 IN
2.595 0.145 IN
2.603 0.478 IN
2.573 0.688 IN
2.636 0.194 IN
2.539 0.155 IN
2.495 0.451 IN
2.581 0.339 IN
0.842 1.017 IN
0.959 1.11 IN
1.031 0.852 IN
1.526 0.284 IN
1.253 1.2 IN
1.361 1.159 IN
2.179 0.926 IN
2.075 0.927 IN
2.18 0.847 IN
0.666 0.913 IN
1.221 0.652 IN
1.64 0.324 IN
2.068 0.352 IN
1.989 0.755 IN
1.966 0.688 IN
2.296 0.513 IN
2.273 0.61 IN
1.754 0.582 IN
1.946 0.103 IN
1.665 0.013 IN
1.456 0.632 IN
1.202 1.347 IN
1.003 1.238 IN
1.579 0.474 IN
1.596 0.625 IN
1.223 0.555 IN
1.24 1.174 IN
1.364 1.033 IN
1.247 0.397 BS
2.103 0.07 CL
2.081 0.022 BS
2.122 0.289 BS
1.962 0.032 BS
1.139 1.146 BS
1.705 0.318 BS
1.745 0.233 IN
2.644 0.1 IN
0.689 0.656 BS
2.762 0.168 IN
0.718 0.496 BS
1.35 1.228 BS
0.425 1.219 BS
0.713 1.018 ITL
1.407 0.463 BS
1.436 0.154 BS
1.135 0.3 BS
1.329 0.046 BS
1.278 0.478 BS
1.196 0.09 BS
1.889 0.231 BS
1.437 0.234 BS
1.306 0.53 BS
1.521 0.163 BS
0.726 0.841 BS
0.706 0.512 BS
0.618 0.73 BS
1.275 0.817 BS
1.781 0.263 BS
1.155 0.207 BS
0.282 0.081 CL
1.312 0.459 BS
0.567 0.852 IN
0.339 0.059 BS
0.825 0.693 BS
1.301 0.212 BS
1.584 0.174 BS
1.508 0.052 BS
1.581 0.167 BS
1.227 0.185 BS
1.346 0.349 BS
0.328 0.084 BS
1.837 0.343 BS
2.019 0.061 BS
1.702 0.007 BS
1.695 0.196 BS
2.166 0.042 BS
2.011 0.059 BS
1.695 0.403 BS
1.838 0.452 BS
0.546 0.086 BS
1.396 0.008 BS
1.464 0.426 BS
1.053 0.261 BS
0.697 0.915 BS
1.673 0.287 BS
0.292 0.63 BS
1.449 0.511 BS
1.478 0.101 BS
1.48 0.324 BS
1.246 0.611 BS
0.355 1.439 CL
1.283 0.279 CL
1.14 0.538 CL
0.587 0.635 CL
0.393 0.405 CL
0.351 0.188 CL
0.564 0.001 CL
0.101 0.298 CL
0.628 0.354 CL
0.419 0.085 CL
0.232 2.215 CL
0.645 1.194 CL
0.166 1.205 CL
0.385 1.415 CL
0.422 1.389 CL
1.042 0.077 CL
0.112 1.691 CL
0.561 0.335 BS
0.084 0.854 CL
0.748 0.866 CL
0.686 0.661 CL
0.296 1.464 RIN
0.266 0.246 CL
0.423 0.248 CL
0.684 0.829 CL
0.377 0.078 CL
1.271 0.089 BS
0.98 0.307 CL
1.159 0.352 BS
0.42 1.535 CL
0.536 0.254 CL
0.7 0.691 CL
1.159 0.219 BS
0.253 0.74 CL
0.255 1.438 CL
0.837 0.117 RIN
0.473 0.585 CL
0.946 0.282 BS
0.663 0.174 CL
0.986 0.986 CL
0.901 0.402 CL
0.35 0.476 CL
0.957 0.655 CL
0.512 1.574 CL
0.444 1.494 IN
0.388 0.793 CL
0.477 1.681 CL
0.838 0.69 CL
0.936 0.125 CL
0.489 1.582 CL
0.573 0.789 CL
0.546 0.907 CL
1.276 0.559 BS
0.706 0.615 CL
0.992 0.183 BS
0.449 0.338 CL
0.616 0.456 BS
0.587 1.46 RIN
1.009 0.185 BS
1.114 0.386 CL
0.295 0.825 CL
0.578 1.017 RIN
0.973 0.643 BS
0.323 2.327 RIN
1.3 0.447 BS
0.968 0.454 CL
0.757 0.079 CL
1.138 0.363 BS
0.669 0.256 CL
0.727 1.392 IN
1.022 0.053 BS
0.559 1.423 CL
0.453 0.954 BS
0.369 0.035 RIN
0.44 0.975 CL
0.48 1.288 CL
1.18 0.254 BS
0.765 0.538 BS
0.402 1.049 RIN
1.317 0.589 BS
0.467 0.99 RIN
0.702 0.741 BS
1.068 0.579 BS
0.389 0.667 RIN
0.647 0.86 RIN
0.247 1.652 RIN
0.524 1.63 RIN
0.539 1.581 BS
0.688 1.208 RIN
0.341 0.888 RIN
0.706 0.316 CL
0.66 0.492 CL
0.231 1.09 CL
0.618 1.623 RIN
0.919 0.558 BS
0.699 0.199 RIN
0.211 2.006 RIN
0.378 0.657 BS
1.06 0.628 BS
1.066 0.004 BS
0.329 1.44 RIN
0.641 0.618 CL
0.48 1.017 RIN
0.691 1.647 RIN
0.407 1.878 RIN
0.312 2.089 RIN
0.291 1.675 BS
0.785 1.369 RIN
0.319 1.222 CL
0.371 1.655 RIN
0.115 0.551 CL
0.755 1.21 CL
1.067 0.119 IN
0.263 0.586 CL
0.622 1.452 RIN
0.307 0.499 CL
0.387 1.295 RIN
0.534 0.713 CL
0.251 0.843 CL
0.693 0.548 RIN
0.769 0.863 CL
0.484 1.834 RIN
0.286 0.741 IN
0.629 1.178 RIN
1.195 0.432 BS
0.206 2.232 RIN
0.484 1.334 RIN
0.316 1.874 RIN
0.384 1.366 CL
0.501 0.519 RIN
0.302 0.669 CL
0.439 0.135 CL
0.133 1.518 RIN
1.295 0.332 BS
0.745 0.436 CL
0.866 1.21 RIN
0.847 1.509 RIN
0.206 1.466 RIN
0.611 0.127 RIN
0.106 1.208 CL
1.165 0.573 BS
0.89 1.118 RIN
0.182 1.762 RIN
1.049 0.3 CL
0.186 0.147 CL
1.235 0.041 BS
0.353 0.009 RIN
0.877 0.351 CL
1.173 0.06 BS
0.053 0.759 CL
0.293 1.434 CL
0.251 1.192 CL
0.052 1.509 RIN
0.74 0.05 CL
0.521 0.465 CL
0.903 1.099 IN
0.541 0.254 CL
0.266 1.377 RIN
0.078 0.59 RIN
0.533 0.371 RIN
0.83 0.537 CL
0.941 0.305 BS
0.414 1.05 RIN
0.587 1.259 RIN
0.13 0.343 CL
0.573 0.102 CL
0.383 1.498 BS
0.926 1.08 BS
0.426 0.451 CL
0.498 0.725 CL
0.993 0.286 RIN
0.141 2.176 RIN
0.396 0.034 CL
0.977 0.457 CL
1.079 0.705 IN
0.336 0.593 RIN
0.54 1.649 RIN
0.932 0.021 BS
1.179 0.525 BS
0.259 2.224 RIN
0.097 0.679 CL
0.499 1.037 RIN
0.611 0.754 CL
0.328 1.654 RIN
0.18 1.202 BS
0.459 1.043 CL
0.852 0.57 RIN
0.824 1.699 RIN
0.523 0.923 CL
0.635 1.046 RIN
1.114 0.667 IN
0.379 1.415 RIN
0.197 2.002 CL
0.474 0.02 CL
0.021 0.665 CL
0.379 1.286 IN
0.326 0.399 CL
1.064 0.762 BS
0.037 1.265 CL
0.358 0.909 CL
1.002 0.923 IN
0.162 0.789 RIN
1.123 0.086 BS
0.554 1.246 RIN
0.67 1.471 RIN
0.692 0.292 CL
0.32 1.898 RIN
0.426 0.24 CL
0.99 0.043 BS
0.261 1.538 CL
1.011 0.82 BS
0.642 1.242 RIN
0.694 1.131 IN
0.997 0.186 RIN
0.478 1.054 CL
0.893 0.159 BS
0.797 1.183 BS
0.676 0.124 RIN
1.269 0.552 BS
0.867 0.828 RIN
0.339 1.748 RIN
0.695 0.924 CL
0.269 0.569 BS
0.231 1.883 RIN
0.957 0.395 BS
0.586 0.18 RIN
0.479 1.217 RIN
0.547 0.359 CL
0.148 1.145 CL
0.988 0.097 CL
0.89 0.491 CL
0.544 1.185 RIN
1.107 0.512 BS
0.204 2.149 CL
0.267 2.523 RIN
0.276 1.803 RIN
0.458 0.762 RIN
0.889 0.944 CL
0.464 1.034 CL
0.918 0.313 BS
0.189 1.336 RIN
0.877 1.427 RIN
0.734 1.008 BS
0.671 1.54 RIN
0.629 0.957 RIN
0.849 0.696 RIN
0.148 1.925 RIN
0.264 1.826 CL
0.757 0.191 RIN
0.236 0.006 CL
0.553 0.854 CL
0.659 0.06 RIN
0.239 1.223 BS
1.241 0.458 BS
0.388 1.63 CL
0.343 0.51 BS
0.201 1.241 CL
0.395 1.767 RIN
0.378 1.403 CL
0.134 2.494 RIN
1.108 0.252 BS
0.433 0.783 CL
0.208 1.756 RIN
0.161 1.083 CL
0 0 CL
1.713 0.504 BS
1.839 0.16 BS
1.233 0.242 BS
1.496 0.242 BS
1.561 0.053 BS
1.911 0.363 BS
1.763 0.324 BS
2.076 0.301 BS
1.555 0.35 BS
1.778 0.161 BS
1.474 0.377 BS
1.278 0.556 BS
1.225 0.568 BS
1.052 0.021 BS
1.735 0.43 BS
1.563 0.079 BS
1.59 0.089 BS
1.515 0.085 BS
1.764 0.147 BS
1.762 0.103 BS
1.667 0.201 BS
1.768 0.551 ITL
1.131 0.179 CL
0.576 0.866 BS
1.376 0.705 IN
1.388 0.749 IN
1.529 1.141 IN
1.803 0.287 BS
1.457 0.001 BS
1.188 0.556 BS
1.401 1.106 IN
1.236 0.543 IN
1.319 0.595 IN
1.385 0.663 IN
1.592 0.622 IN
1.399 0.804 IN
1.347 0.719 BS
1.365 0.578 IN
1.288 0.292 BS
1.279 0.362 BS
1.366 0.159 BS
1.961 0.138 BS
1.001 0.131 BS
0.872 0.698 BS
1.449 0.146 BS
1.447 0.25 BS
1.438 0.204 BS
1.34 0.474 BS
1.167 1.19 IN
1.374 0.82 IN
1.194 0.398 BS
1.296 0.068 BS
1.309 0.348 BS
0.98 0.81 BS
1.46 0.376 BS
1.541 0.496 BS
2.594 0.084 IN
2.372 0.391 IN
2.272 0.365 IN
2.285 0.563 IN
2.575 0.011 IN
2.384 0.235 IN
2.36 0.008 IN
2.339 0.302 IN
2.376 0.176 IN
2.449 0.078 IN
2.281 0.503 IN
2.339 0.013 IN
2.57 0.416 IN
2.372 0.021 IN
2.322 0.163 IN
2.488 0.022 IN
2.321 0.358 IN
2.686 0.158 IN
1.172 2.374 ITL
1.388 1.98 ITL
2.315 2.462 ITL
2.834 0.934 ITL
2.366 1.061 ITL
2.134 0.779 ITL
1.621 2.241 ITL
1.914 0.959 ITL
2.504 0.836 ITL
2.962 0.275 ITL
1.233 0.509 ITL
1.823 0.511 ITL
1.797 1.954 ITL
2.098 1.769 ITL
1.85 2.604 ITL
1.135 2.76 ITL
1.921 1.966 ITL
1.569 0.612 ITL
1.065 0.589 ITL
2.38 0.99 ITL
1.445 0.654 ITL
2.867 0.158 IN
1.36 0.433 IN
1.526 0.024 ITL
1.71 2.488 ITL
2.271 0.641 ITL
1.567 0.692 ITL
2.724 0.409 IN
2.175 1.032 ITL
0.79 0.711 ITL
2.813 2.461 ITL
0.957 0.161 IN
1.997 1.094 ITL
1.016 0.997 ITL
2.138 0.902 ITL
2.012 2.17 ITL
2.939 2.793 ITL
0.307 2.079 ITL
1.874 0.809 ITL
2.99 1.138 ITL
2.248 0.803 ITL
2.788 0.848 ITL
2.956 1.043 ITL
2.794 0.848 ITL
1.46 0.322 ITL
0.456 0.491 IN
2.654 1.628 ITL
1.447 0.72 ITL
1.44 0.061 ITL
2.297 1.59 ITL
1.108 0.893 ITL
2.997 0.655 ITL
2.348 1.022 ITL
2.652 0.961 ITL
2.531 1.977 ITL
1.735 1.617 ITL
2.711 0.451 IN
2.707 0.712 ITL
1.189 0.616 ITL
1.719 0.604 ITL
1.753 1.558 ITL
0.683 0.667 IN
0.704 0.581 IN
1.441 1.961 ITL
0.781 2.81 ITL
0.626 0.461 ITL
1.89 0.426 ITL
2.299 1.727 ITL
1.54 1.205 ITL
0.529 2.092 ITL
1.78 1.15 ITL
2.993 0.066 IN
0.913 0.567 IN
1.909 0.727 ITL
0.713 0.901 ITL
2.24 1.081 ITL
1.517 1.408 ITL
2.055 1.249 ITL
2.096 1.222 ITL
2.009 2.17 ITL
2.021 2.177 ITL
2.858 1.666 ITL
2.805 2.598 ITL
2.817 2.771 ITL
1.437 0.779 ITL
1.396 0.724 ITL
2.183 0.116 IN
2.266 0.05 IN
2.437 0.472 ITL
2.555 1.028 ITL
1.291 0.341 ITL
0.322 0.049 ITL
0.21 0.049 ITL
2.278 0.776 ITL
1.327 1.338 ITL
0.377 0.113 IN
2.987 0.74 ITL
1.54 0.725 ITL
1.486 0.776 ITL
1.663 0.612 ITL
2.327 1.978 ITL
2.822 0.047 IN
2.385 0.32 IN
2.492 0.214 IN
0.9 2.016 ITL
0.87 2.078 ITL
0.812 2.024 ITL
2.715 0.831 ITL
2.817 0.878 ITL
2.731 0.819 ITL
2.328 0.902 ITL
2.259 1 ITL
2.323 0.965 ITL
2.015 0.992 ITL
1.981 1.022 ITL
0.348 0.802 ITL
0.293 0.831 ITL
0.389 1.059 ITL
0.317 0.903 ITL
0.55 0.907 ITL
2.6 2.216 ITL
2.492 2.262 ITL
2.827 2.222 ITL
2.823 2.289 ITL
2.82 2.232 ITL
2.042 0.6 ITL
2.145 0.817 ITL
2.05 0.723 ITL
1.932 0.845 ITL
2.867 1.806 ITL
2.683 1.647 ITL
2.908 0.786 ITL
2.813 0.725 ITL
2.596 0.663 ITL
2.995 0.754 ITL
2.946 0.948 ITL
2.968 0.973 ITL
2.619 0.684 ITL
2.611 0.776 ITL
2.678 0.627 ITL
2.802 0.841 ITL
1.268 0.443 ITL
1.077 0.722 ITL
0.952 0.798 ITL
1.053 0.745 ITL
0.976 0.715 ITL
1.089 0.587 ITL
1.208 0.665 ITL
1.075 0.618 ITL
1.014 0.678 ITL
0.704 0.78 ITL
2.484 0.66 ITL
2.276 0.851 ITL
2.357 1.097 ITL
2.352 0.758 ITL
2.09 0.64 ITL
2.118 0.616 ITL
2.366 0.997 ITL
2.333 1.039 ITL
2.197 0.759 ITL
2.253 0.477 ITL
2.51 0.195 ITL
2.052 0.42 ITL
2.334 0.806 ITL
2.185 0.734 ITL
2.056 1.066 ITL
2.125 1.332 ITL
2.313 0.967 ITL
2.238 1 ITL
2.393 0.364 ITL
2.005 0.901 ITL
2.381 1.748 ITL
2.577 0.194 ITL
2.265 0.671 ITL
2.264 1.356 ITL
2.119 0.848 ITL
1.97 0.82 ITL
2.159 0.725 ITL
2.131 1.606 ITL
2.391 0.129 ITL
2.385 0.478 ITL
2.204 0.842 ITL
2.408 0.233 ITL
2.15 0.54 ITL
2.19 1.15 ITL
1.822 1.098 ITL
1.426 2.985 ITL
2.757 2.976 ITL
2.895 2.867 ITL
2.038 2.969 ITL
1.911 2.927 ITL
0.927 2.851 ITL
0.888 2.973 ITL
0.867 2.946 ITL
1.912 0.332 IN
1.66 0.513 IN
1.5 0.374 IN
1.533 0.261 IN
2.355 0.073 IN
2.198 0.056 IN
2.136 0.005 IN
1.51 0.391 IN
1.574 0.144 IN
1.662 0.453 IN
1.188 0.378 IN
1.385 1.018 IN
2.188 0.615 IN
1.616 0.802 IN
1.456 1.255 IN
0.757 0.914 IN
0.794 1.161 IN
1.885 0.365 IN
1.341 0.596 IN
1.559 0.607 IN
1.418 0.66 IN
2.043 0.375 IN
1.888 2.915 ITL
1.447 2 ITL
2.216 1.893 ITL
1.283 0.684 ITL
0.769 2.846 ITL
2.46 0.416 IN
2.826 0.203 ITL
0.63 2.362 ITL
2.226 2.697 ITL
0.538 0.042 IN
2.441 2.083 ITL
0.612 0.777 ITL
2.476 1.375 ITL
0.59 0.474 ITL
0.721 2.673 ITL
1.012 1.574 ITL
1.452 0.505 ITL
2.366 2.76 ITL
2.663 1.297 ITL
1.793 2.695 ITL
0.926 2.609 ITL
1.915 0.474 IN
0.414 1.174 ITL
2.72 1.05 ITL
1.353 0.619 IN
2.47 0.155 IN
1.186 2.384 ITL
0.134 2.943 ITL
1.112 1.938 ITL
2.626 0.15 ITL
2.966 1.799 ITL
1.901 1.961 ITL
1.149 0.647 IN
2.796 0.375 ITL
2.546 2.216 ITL
1.724 0.703 IN
1.905 0.265 ITL
2.556 1.012 ITL
2.096 2.548 ITL
2.943 0.206 IN
1.591 2.391 ITL
2.11 2.439 ITL
2.889 0.366 ITL
2.944 0.545 ITL
1.391 1.816 ITL
2.335 0.144 IN
1.367 0.657 IN
2.862 1.446 ITL
1.764 0.495 IN
2.714 0.271 ITL
0.761 2.683 ITL
1.402 2.869 ITL
2.176 1.367 ITL
1.612 0.825 IN
2.847 0.377 ITL
2.685 0.372 IN
1.866 1.208 ITL
2.698 1.554 ITL
2.423 1.9 ITL
2.965 1.268 ITL
2.26 1.598 ITL
1.981 0.501 IN
2.839 0.109 IN
2.042 0.314 IN
1.608 2.443 ITL
2.747 0.39 IN
2.801 1.182 ITL
0.764 0.792 ITL
1.553 0.457 IN
2.278 1.05 ITL
2.763 0.12 ITL
1.156 2.741 ITL
1.441 1.004 ITL
2.99 0.102 IN
2.25 0.134 IN
2.01 0.37 ITL
2.596 2.679 ITL
2.321 2.973 ITL
0.599 2.249 ITL
1.476 0.916 ITL
2.358 0.625 ITL
2.548 1.533 ITL
1.244 2.658 ITL
0.595 0.59 ITL
1.772 0.452 ITL
2.448 1.23 ITL
2.907 1.094 ITL
0.635 1.007 ITL
2.157 0.469 ITL
2.377 2.787 ITL
1.91 2.21 ITL
1.908 1.997 ITL
0.191 2.873 ITL
2.479 0.183 IN
2.201 0.411 ITL
2.908 0.867 ITL
0.422 2.398 ITL
1.898 2.327 ITL
2.911 1.223 ITL
1.651 0.47 IN
1.495 2.757 ITL
1.44 2.61 ITL
2.07 0.395 ITL
1.661 0.356 IN
2.128 2.155 ITL
1.727 0.269 IN
1.652 0.152 IN
1.326 1.268 ITL
1.891 0.19 IN
1.706 0.138 IN
1.976 0.142 IN
2.283 0.478 ITL
2.452 0.611 ITL
1.329 0.512 ITL
2.436 0.254 IN
2.377 0.21 IN
2.681 1.504 ITL
2.367 2.541 ITL
2.97 0.134 IN
1.392 0.557 IN
0.62 2.951 ITL
0.841 2.072 ITL
1.653 2.799 ITL
0.525 2.098 ITL
2.618 2.362 ITL
1.268 2.519 ITL
2.89 0.006 IN
0.64 0.091 ITL
0.707 2.725 ITL
1.969 0.921 ITL
1.693 1.28 ITL
0.728 0.39 ITL
0.843 0.422 ITL
1.114 2.268 ITL
0.388 0.375 IN
2.035 0.288 ITL
2.308 2.831 ITL
2.812 0.884 ITL
2.109 0.053 IN
2.167 0.314 IN
2.519 2.148 ITL
0.943 1.854 ITL
2.333 2.832 ITL
1.999 2.922 ITL
2.562 1.872 ITL
2.741 0.661 ITL
2.833 0.284 IN
1.471 0.089 IN
2.081 2.269 ITL
1.561 2.504 ITL
1.921 0.26 ITL
2.933 0.258 IN
2.955 0.971 ITL
1.516 0.484 IN
1.815 1.857 ITL
1.852 1.779 ITL
2.026 0.46 ITL
1.362 0.875 ITL
1.873 1.556 ITL
0.344 1.937 ITL
2.982 0.015 ITL
2.856 0.043 ITL
2.215 0.246 IN
1.558 1.262 ITL
1.379 1.252 ITL
0.503 1.316 ITL
0.476 1.525 ITL
0.483 1.434 ITL
1.626 0.684 IN
1.657 0.437 IN
1.877 0.033 ITL
1.983 2.924 ITL
2.01 2.971 ITL
0.788 1.201 ITL
1.323 2.467 ITL
2.723 0.155 IN
2.507 0.059 IN
2.392 0.354 IN
1.329 2.112 ITL
1.342 1.915 ITL
2.283 0.155 IN
1.939 0.355 IN
0.938 0.874 IN
0.909 0.805 IN
1.974 0.072 IN
1.921 0.269 IN
1.326 0.548 IN
1.637 0.163 IN
1.185 2.754 ITL
1.205 2.742 ITL
1.367 2.91 ITL
1.407 2.935 ITL
0.597 1.752 ITL
0.565 1.793 ITL
2.622 1.375 ITL
2.484 1.276 ITL
2.584 1.195 ITL
0.44 2.631 ITL
0.386 2.448 ITL
0.409 2.45 ITL
0.342 2.364 ITL
0.086 2.36 ITL
0.448 2.323 ITL
1.456 0.265 IN
1.656 0.507 IN
1.693 0.285 IN
1.9 0.334 IN
2.099 2.968 ITL
1.822 2.898 ITL
1.921 2.767 ITL
2.014 2.846 ITL
1.849 2.863 ITL
2.286 0.601 ITL
1.582 1.84 ITL
1.249 1.99 ITL
1.364 1.844 ITL
1.434 1.868 ITL
1.533 1.943 ITL
1.529 1.862 ITL
1.564 1.862 ITL
1.606 2.076 ITL
1.09 1.653 ITL
1.102 1.626 ITL
1.07 1.558 ITL
0.394 2.247 ITL
0.766 2.243 ITL
0.374 1.929 ITL
0.466 2.179 ITL
0.375 1.911 ITL
0.307 2.172 ITL
1.965 2.19 ITL
2.254 2.311 ITL
2.318 2.07 ITL
2.492 2.056 ITL
2.177 2.171 ITL
2.285 2.205 ITL
2.526 2.158 ITL
2.483 2.183 ITL
2.58 0.02 IN
2.622 0.054 IN
1.378 1.782 ITL
1.378 1.837 ITL
1.211 1.703 ITL
1.33 1.678 ITL
1.346 1.723 ITL
1.611 2.066 ITL
1.584 1.878 ITL
2.336 1.765 ITL
2.322 1.662 ITL
2.742 1.685 ITL
2.153 0.729 ITL
2.091 0.857 ITL
2.582 0.638 ITL
2.251 0.709 ITL
2.298 0.656 ITL
2.418 0.944 ITL
2.747 0.969 ITL
2.317 0.847 ITL
2.516 1.557 ITL
2.41 0.77 ITL
2.465 1.287 ITL
2.493 0.953 ITL
2.588 0.599 ITL
2.507 0.8 ITL
2.191 1.071 ITL
2.294 0.717 ITL
2.614 1.163 ITL
2.797 0.695 ITL
0.927 2.15 ITL
1.093 2.163 ITL
0.095 2.544 ITL
0.295 2.489 ITL
0.746 2.524 ITL
1.058 2.456 ITL
1.518 2.188 ITL
1.34 2.234 ITL
1.091 2.247 ITL
1.036 2.522 ITL
0.88 2.64 ITL
0.922 2.577 ITL
0.51 2.696 ITL
0.638 2.323 ITL
0.637 2.549 ITL
0.132 2.206 ITL
0.467 2.457 ITL
0.644 2.063 ITL
0.633 2.406 ITL
0.354 1.512 ITL
0.348 1.992 ITL
0.626 2.229 ITL
0.312 2.891 ITL
0.756 2.617 ITL
0.533 2.901 ITL
0.433 2.825 ITL
0.37 2.269 ITL
0.583 2.557 ITL
0.747 2.359 ITL
1.029 2.622 ITL
0.707 2.701 ITL
0.726 2.803 ITL
0.721 2.526 ITL
0.863 2.771 ITL
0.664 2.359 ITL
0.33 2.741 ITL
0.434 2.551 ITL
2 2.977 ITL
2.138 2.814 ITL
2.65 2.781 ITL
2.952 2.487 ITL
2.984 2.855 ITL
2.971 2.637 ITL
2.322 2.67 ITL
2.414 2.864 ITL
2.898 2.27 ITL
2.625 2.709 ITL
2.802 2.512 ITL
2.961 2.841 ITL
2.904 2.933 ITL
2.979 2.4 ITL
2.945 2.766 ITL
2.319 2.822 ITL
2.798 2.065 ITL
2.669 1.973 ITL
2.87 2.122 ITL
2.686 2.114 ITL
2.521 2.027 ITL
2.281 2.069 ITL
2.968 1.881 ITL
2.96 2.087 ITL
2.794 2.967 ITL
1.353 0.76 IN
1.027 1.024 IN
1.118 0.061 IN
1.34 0.752 IN
1.264 0.819 IN
1.655 0.309 IN
2.236 0.486 IN
1.704 0.263 IN
1.878 0.38 IN
1.037 0.203 IN
1.588 0.545 IN
1.369 0.662 IN
1.497 0.553 IN
2.175 0.246 IN
2.038 0.246 IN
1.909 0.583 IN
0.82 0.564 ITL
1.257 1.919 ITL
0.65 2.739 ITL
0.129 2.923 ITL
2.385 0.037 ITL
2.232 1.16 ITL
2.526 0.257 ITL
0.526 2.206 ITL
2.328 0.057 IN
1.572 1.951 ITL
1.611 0.398 ITL
2.41 0.054 IN
1.139 0.334 IN
2.449 0.142 IN
2.916 1.387 ITL
2.106 0.412 ITL
2.257 2.491 ITL
2.174 0.184 IN
2.837 2.179 ITL
1.206 2.756 ITL
1.471 2.143 ITL
1.279 1.335 ITL
2.027 1.531 ITL
0.839 0.551 ITL
2.503 0.485 ITL
2.265 0 IN
0.86 1.755 ITL
1.591 0.494 IN
1.767 1.689 ITL
2.35 2.944 ITL
2.892 0.18 IN
2.528 2.772 ITL
2.333 2.919 ITL
2.103 2.241 ITL
1.269 0.601 IN
2.771 2.835 ITL
1.464 0.377 IN
2.762 2.631 ITL
0.553 0.804 ITL
1.319 2.819 ITL
2.864 1.497 ITL
1.136 2.589 ITL
2.451 2.569 ITL
2.926 2.718 ITL
1.672 1.479 ITL
2.606 1.097 ITL
2.967 2.201 ITL
1.328 0.666 ITL
1.625 2.266 ITL
2.553 2.866 ITL
2.647 2.295 ITL
1.35 0.275 ITL
0.806 0.795 IN
1.346 0.273 ITL
1.733 0.754 ITL
0.443 2.909 ITL
1.411 2.119 ITL
2.063 0.424 IN
2.214 0.514 ITL
2.891 2.939 ITL
1.376 0.484 IN
1.245 0.2 IN
2.518 0.198 IN
0.409 2.154 ITL
1.655 2.095 ITL
1.931 0.103 ITL
2.377 0.388 ITL
0.79 0.189 ITL
0.366 1.97 ITL
2.768 0.371 ITL
2.682 1.432 ITL
2.676 0.082 IN
2.617 2.313 ITL
2.86 0.409 ITL
1.17 0.8 ITL
2.899 2.872 ITL
2.242 2.884 ITL
2.34 2.074 ITL
2.374 0.912 ITL
1.481 0.534 IN
2.534 2.302 ITL
0.483 1.123 ITL
2.738 1.548 ITL
1.091 2.787 ITL
2.155 0.611 ITL
2.9 1.194 ITL
2.051 2.97 ITL
2.112 0.874 ITL
2.449 0.159 IN
1.176 2.677 ITL
1.632 1.759 ITL
0.323 2.185 ITL
0.427 2.311 ITL
2.15 0.989 ITL
2.907 1.197 ITL
1.413 0.196 IN
1.988 2.344 ITL
2.838 0.792 ITL
2.688 0.221 IN
1.514 1.282 ITL
1.444 0.233 IN
1.265 2.612 ITL
2.741 0.091 ITL
2.557 2.349 ITL
2.027 0.085 IN
1.957 2.613 ITL
1.95 0.925 ITL
2.474 2.654 ITL
0.953 0.089 IN
1.299 2.851 ITL
2.154 0.601 ITL
2.091 0.591 ITL
1.831 0.022 ITL
1.878 1.005 ITL
0.094 1.315 ITL
0.074 1.297 ITL
2.642 2.218 ITL
0.142 2.052 ITL
2.607 1.263 ITL
2.498 1.237 ITL
2.715 0.729 ITL
2.054 1.168 ITL
0.639 1.758 ITL
0.652 0.42 BS
0.719 0.2 CL
0.959 0.598 CL
0.787 0.47 CL
0.121 0.253 CL
0.903 1.062 CL
1.275 0.011 IN
1.155 0.114 CL
1.095 0.781 IN
0.611 0.656 CL
1.035 0.167 CL
0.684 1.671 CL
0.508 0.027 CL
0.615 0.641 CL
0.88 0.134 CL
0.475 1.556 RIN
0.991 0.247 CL
0.737 0.027 RIN
0.424 1.019 RIN
0.524 1.225 CL
1.138 1.132 BS
0.394 1.324 CL
0.439 0.548 RIN
0.287 1.334 CL
0.538 0.239 CL
0.386 1.31 CL
1.015 0.036 CL
0.679 0.003 CL
0.387 1.185 CL
0.774 0.323 CL
1.134 0.707 BS
1.226 0.263 IN
1.103 0.004 BS
0.882 0.055 BS
0.651 0.804 RIN
